;avg_gyro-alpha;avg_gyro-beta;avg_gyro-gamma;avg_ax;avg_ay;avg_az;min_gyro-alpha;min_gyro-beta;min_gyro-gamma;min_ax;min_ay;min_az;max_gyro-alpha;max_gyro-beta;max_gyro-gamma;max_ax;max_ay;max_az
2017-02-20 18:57:04.000;123.7890625;-194.1875;144.7578125;-0.613037109375;-0.815185546875;0.04052734375;123.7890625;-194.1875;144.7578125;-0.613037109375;-0.815185546875;0.04052734375;123.7890625;-194.1875;144.7578125;-0.613037109375;-0.815185546875;0.04052734375
2017-02-20 18:57:04.500;51.9765625;-114.3359375;45.578125;-0.1552734375;-0.3955078125;0.497192382812;-19.8359375;-194.1875;-53.6015625;-0.613037109375;-0.815185546875;0.04052734375;123.7890625;-34.484375;144.7578125;0.302490234375;0.024169921875;0.953857421875
2017-02-20 18:57:05.000;-19.8359375;-34.484375;-53.6015625;0.302490234375;0.024169921875;0.953857421875;-19.8359375;-34.484375;-53.6015625;0.302490234375;0.024169921875;0.953857421875;-19.8359375;-34.484375;-53.6015625;0.302490234375;0.024169921875;0.953857421875
2017-02-20 18:57:05.500;-14.85546875;-29.55078125;-73.5625;0.19775390625;0.145751953125;0.937377929688;-19.8359375;-34.484375;-93.5234375;0.093017578125;0.024169921875;0.9208984375;-9.875;-24.6171875;-53.6015625;0.302490234375;0.267333984375;0.953857421875
2017-02-20 18:57:06.000;-9.875;-24.6171875;-93.5234375;0.093017578125;0.267333984375;0.9208984375;-9.875;-24.6171875;-93.5234375;0.093017578125;0.267333984375;0.9208984375;-9.875;-24.6171875;-93.5234375;0.093017578125;0.267333984375;0.9208984375
2017-02-20 18:57:06.500;-9.7109375;-11.99609375;-54.00390625;-0.1865234375;-0.171997070312;0.803466796875;-9.875;-24.6171875;-93.5234375;-0.466064453125;-0.611328125;0.68603515625;-9.546875;0.625;-14.484375;0.093017578125;0.267333984375;0.9208984375
2017-02-20 18:57:07.000;-9.546875;0.625;-14.484375;-0.466064453125;-0.611328125;0.68603515625;-9.546875;0.625;-14.484375;-0.466064453125;-0.611328125;0.68603515625;-9.546875;0.625;-14.484375;-0.466064453125;-0.611328125;0.68603515625
2017-02-20 18:57:07.500;0.6640625;22.65625;-35.8125;-0.420532226562;-0.7685546875;0.147094726562;-9.546875;0.625;-57.140625;-0.466064453125;-0.92578125;-0.391845703125;10.875;44.6875;-14.484375;-0.375;-0.611328125;0.68603515625
2017-02-20 18:57:08.000;10.875;44.6875;-57.140625;-0.375;-0.92578125;-0.391845703125;10.875;44.6875;-57.140625;-0.375;-0.92578125;-0.391845703125;10.875;44.6875;-57.140625;-0.375;-0.92578125;-0.391845703125
2017-02-20 18:57:08.500;6.13671875;43.09375;-5.6796875;-0.166870117188;-0.26171875;-0.649047851562;1.3984375;41.5;-57.140625;-0.375;-0.92578125;-0.90625;10.875;44.6875;45.78125;0.041259765625;0.40234375;-0.391845703125
2017-02-20 18:57:09.000;1.3984375;41.5;45.78125;0.041259765625;0.40234375;-0.90625;1.3984375;41.5;45.78125;0.041259765625;0.40234375;-0.90625;1.3984375;41.5;45.78125;0.041259765625;0.40234375;-0.90625
2017-02-20 18:57:09.500;-8.5546875;-5.984375;9.09765625;0.002685546875;0.29248046875;-0.93505859375;-18.5078125;-53.46875;-27.5859375;-0.035888671875;0.1826171875;-0.9638671875;1.3984375;41.5;45.78125;0.041259765625;0.40234375;-0.90625
2017-02-20 18:57:10.000;-18.5078125;-53.46875;-27.5859375;-0.035888671875;0.1826171875;-0.9638671875;-18.5078125;-53.46875;-27.5859375;-0.035888671875;0.1826171875;-0.9638671875;-18.5078125;-53.46875;-27.5859375;-0.035888671875;0.1826171875;-0.9638671875
2017-02-20 18:57:10.500;40.01953125;-64.37890625;-8.4609375;0.0850830078125;-0.240844726562;-0.791625976562;-18.5078125;-75.2890625;-27.5859375;-0.035888671875;-0.664306640625;-0.9638671875;98.546875;-53.46875;10.6640625;0.2060546875;0.1826171875;-0.619384765625
2017-02-20 18:57:11.000;98.546875;-75.2890625;10.6640625;0.2060546875;-0.664306640625;-0.619384765625;98.546875;-75.2890625;10.6640625;0.2060546875;-0.664306640625;-0.619384765625;98.546875;-75.2890625;10.6640625;0.2060546875;-0.664306640625;-0.619384765625
2017-02-20 18:57:11.500;52.45703125;-33.05859375;3.671875;0.380981445312;-0.80029296875;-0.476928710938;6.3671875;-75.2890625;-3.3203125;0.2060546875;-0.936279296875;-0.619384765625;98.546875;9.171875;10.6640625;0.555908203125;-0.664306640625;-0.33447265625
2017-02-20 18:57:12.000;6.3671875;9.171875;-3.3203125;0.555908203125;-0.936279296875;-0.33447265625;6.3671875;9.171875;-3.3203125;0.555908203125;-0.936279296875;-0.33447265625;6.3671875;9.171875;-3.3203125;0.555908203125;-0.936279296875;-0.33447265625
2017-02-20 18:57:12.500;57.73046875;20.2421875;-27.88671875;0.282470703125;-0.951416015625;-0.107299804688;6.3671875;9.171875;-52.453125;0.009033203125;-0.966552734375;-0.33447265625;109.09375;31.3125;-3.3203125;0.555908203125;-0.936279296875;0.119873046875
2017-02-20 18:57:13.000;109.09375;31.3125;-52.453125;0.009033203125;-0.966552734375;0.119873046875;109.09375;31.3125;-52.453125;0.009033203125;-0.966552734375;0.119873046875;109.09375;31.3125;-52.453125;0.009033203125;-0.966552734375;0.119873046875
2017-02-20 18:57:13.500;51.62109375;4.0859375;-39.00390625;-0.067138671875;-0.851928710938;0.44873046875;-5.8515625;-23.140625;-52.453125;-0.143310546875;-0.966552734375;0.119873046875;109.09375;31.3125;-25.5546875;0.009033203125;-0.7373046875;0.777587890625
2017-02-20 18:57:14.000;-5.8515625;-23.140625;-25.5546875;-0.143310546875;-0.7373046875;0.777587890625;-5.8515625;-23.140625;-25.5546875;-0.143310546875;-0.7373046875;0.777587890625;-5.8515625;-23.140625;-25.5546875;-0.143310546875;-0.7373046875;0.777587890625
